ID,SystemCodeNumber,Capacity,Lat_x,Long_x,Occupancy,Vehicle,Traffic,QueueLength,IsSpecialDay,Date,Time,Timestamp,Occ_rate,Demand_rate_min,nearest_system
0,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,2016-10-04,07:59:00,2016-10-04 07:59:00,10.571923743500866,0.0,BHMBCCTHL01
5248,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,19.75,0.0,BHMNCPNST01
3936,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,38.427947598253276,0.0,BHMNCPHST01
6560,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,51.340206185567006,0.0,BHMNCPHST01
17056,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,31.979166666666664,0.0,BHMEURBRD01
2624,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,24.893617021276597,0.0,Shopping
7872,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,25.79710144927536,0.0,BHMBCCTHL01
14432,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,2016-10-04,07:59:00,2016-10-04 07:59:00,33.66111951588503,0.0,Others-CCCPS119a
9184,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,35.29118964659034,0.0,Others-CCCPS202
10496,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,2016-10-04,07:59:00,2016-10-04 07:59:00,6.956831965750982,0.0,Others-CCCPS8
1312,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,31.007751937984494,0.0,BHMBCCMKT01
11808,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,27.839299510687614,0.0,Others-CCCPS202
13120,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,18.624446714334354,0.0,Others-CCCPS135a
15744,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,2016-10-04,07:59:00,2016-10-04 07:59:00,18.94940380277151,0.0,Others-CCCPS135a
14433,Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0,2016-10-04,08:25:00,2016-10-04 08:25:00,36.157337367624805,1.2692307692307692,Others-CCCPS119a
6561,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,2016-10-04,08:25:00,2016-10-04 08:25:00,55.05154639175258,0.6923076923076923,BHMNCPHST01
9185,Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0,2016-10-04,08:25:00,2016-10-04 08:25:00,38.825286212045796,2.730769230769231,Others-CCCPS202
13121,Others-CCCPS202,2937,26.14749053,91.72799688,665,car,low,2,0,2016-10-04,08:25:00,2016-10-04 08:25:00,22.642151855635,4.538461538461538,Others-CCCPS135a
11809,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0,2016-10-04,08:25:00,2016-10-04 08:25:00,37.78006695853721,14.846153846153847,Others-CCCPS202
1313,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0,2016-10-04,08:25:00,2016-10-04 08:25:00,33.33333333333333,0.34615384615384615,BHMBCCMKT01
3937,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0,2016-10-04,08:25:00,2016-10-04 08:25:00,43.95924308588064,1.4615384615384615,BHMNCPHST01
2625,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0,2016-10-04,08:25:00,2016-10-04 08:25:00,37.02127659574468,2.1923076923076925,Shopping
15745,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0,2016-10-04,08:25:00,2016-10-04 08:25:00,21.849822752175314,3.4615384615384617,Others-CCCPS135a
7873,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0,2016-10-04,08:25:00,2016-10-04 08:25:00,38.98550724637681,3.5,BHMBCCTHL01
